"filename", "language", "Python", "YAML", "Shell Script", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "Dotenv", "JSON", "Docker", "HTML", "XML", "comment", "blank", "total"
"/Users/fukunugget/dev/vision-inteligente-project/scripts/gcloud_bootstrap.sh", "Shell Script", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 83
"/Users/fukunugget/dev/vision-inteligente-project/tests/test_anomaly_reference.py", "Python", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 138
"/Users/fukunugget/dev/vision-inteligente-project/tests/test_cli.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 96
"/Users/fukunugget/dev/vision-inteligente-project/tests/test_cloud_api.py", "Python", 413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 473
"/Users/fukunugget/dev/vision-inteligente-project/tests/test_config.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/fukunugget/dev/vision-inteligente-project/tests/test_decision.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 61
"/Users/fukunugget/dev/vision-inteligente-project/tests/test_golden_reference.py", "Python", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 155
"/Users/fukunugget/dev/vision-inteligente-project/tests/test_model_suite.py", "Python", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 135
"/Users/fukunugget/dev/vision-inteligente-project/tests/test_split.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/fukunugget/dev/vision-inteligente-project/web/.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/fukunugget/dev/vision-inteligente-project/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/Users/fukunugget/dev/vision-inteligente-project/web/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1995, 0, 0, 0, 0, 1, 1996
"/Users/fukunugget/dev/vision-inteligente-project/web/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"/Users/fukunugget/dev/vision-inteligente-project/web/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1962, 0, 0, 0, 0, 0, 0, 0, 170, 2132
"/Users/fukunugget/dev/vision-inteligente-project/web/src/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1177, 0, 0, 0, 0, 0, 0, 210, 1387
"/Users/fukunugget/dev/vision-inteligente-project/web/src/utils/supabase.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/fukunugget/dev/vision-inteligente-project/web/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/fukunugget/dev/vision-inteligente-project/web/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/fukunugget/dev/vision-inteligente-project/web/vite.config.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/fukunugget/dev/vision-inteligente-project/yolov8n-seg.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47587, 0, 206, 47793
"Total", "-", 5737, 13, 109, 298, 17, 21, 1962, 1177, 3, 2058, 19, 12, 47587, 5, 1647, 60665
